,Screen-Full-HD,Screen-IPS-panel,Screen-Full-HD,Screen-IPS-panel,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned
0,False,True,False,True,0,Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,Low
1,True,False,True,False,1,Dell,3,1,1,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,634,Low
2,True,False,True,False,2,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,946,Low
3,False,True,False,True,3,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,128,2.6901,1244,Low
4,True,False,True,False,4,HP,4,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.21155,837,Low
5,True,False,True,False,5,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1016,Low
6,True,False,True,False,6,HP,3,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.6305000000000005,1117,Low
7,False,True,False,True,7,Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,Low
8,True,False,True,False,8,Dell,3,1,1,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,812,Low
9,False,True,False,True,9,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,Low
10,True,False,True,False,10,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.69665,975,Low
11,True,False,True,False,11,HP,3,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.21155,558,Low
12,True,False,True,False,12,Asus,3,2,2,3,15.598425196850393,0.6896551724137931,4,256,4.41,527,Low
13,True,False,True,False,13,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,Low
14,True,False,True,False,14,Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,Low
15,True,False,True,False,15,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1013,876,Low
16,False,True,False,True,16,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,Low
17,True,False,True,False,17,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1105,Low
18,False,True,False,True,18,Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,Low
19,True,False,True,False,19,HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,Low
20,False,True,False,True,20,HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,Low
21,True,False,True,False,21,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.3218,761,Low
22,False,True,False,True,22,Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,Medium
23,True,False,True,False,23,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.84325,1518,Low
24,True,False,True,False,24,Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,Low
25,True,False,True,False,25,Dell,3,1,2,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,616,Low
26,True,False,True,False,26,Asus,3,3,1,3,15.598425196850393,0.8275862068965517,6,256,4.41,733,Low
27,True,False,True,False,27,HP,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.21155,913,Low
28,False,True,False,True,28,HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0429,1421,Low
29,False,True,False,True,29,HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.106221030042918,837,Low
30,False,True,False,True,30,Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.8665000000000003,1515,Low
31,False,True,False,True,31,Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.4839,1880,Medium
32,False,True,False,True,32,Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.66805,2069,Medium
33,True,False,True,False,33,Asus,3,3,1,7,15.598425196850393,0.6206896551724138,8,256,3.7485,1420,Low
34,True,False,True,False,34,HP,3,2,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1179,Low
35,False,True,False,True,35,Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.5280000000000005,1123,Low
36,True,False,True,False,36,Acer,3,3,1,3,15.598425196850393,0.9310344827586208,4,256,4.851000000000001,727,Low
37,True,False,True,False,37,HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.59415,1255,Low
38,False,True,False,True,38,HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.106221030042918,888,Low
39,False,True,False,True,39,Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.85875,1418,Low
40,True,False,True,False,40,Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.75625,1396,Low
41,True,False,True,False,41,HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2634,1374,Low
42,True,False,True,False,42,HP,3,1,1,5,15.598425196850393,0.5517241379310345,6,256,4.21155,786,Low
43,False,True,False,True,43,Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.615,1023,Low
44,True,False,True,False,44,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.69665,925,Low
45,False,True,False,True,45,Lenovo,1,3,1,7,15.0,0.9655172413793103,16,256,5.5125,1371,Low
46,False,True,False,True,46,Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.615,1085,Low
47,False,True,False,True,47,Huawei,4,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,1714,Medium
48,True,False,True,False,48,HP,3,3,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1172,Low
49,True,False,True,False,49,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,256,4.106221030042918,1777,Medium
50,False,True,False,True,50,Acer,4,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.4696000000000002,1256,Low
51,True,False,True,False,51,HP,3,3,1,7,17.299212598425196,0.6206896551724138,8,256,5.5125,1327,Low
52,True,False,True,False,52,Dell,4,2,1,7,13.299212598425196,0.6206896551724138,8,256,2.646,1841,Medium
53,False,True,False,True,53,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1184,Low
54,True,False,True,False,54,HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.59415,1310,Low
55,True,False,True,False,55,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,1460,Low
56,True,False,True,False,56,Dell,3,1,2,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,860,Low
57,True,False,True,False,57,Toshiba,4,2,1,7,13.299212598425196,0.8620689655172414,8,256,2.646,1731,Medium
58,True,False,True,False,58,Acer,3,3,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,1057,Low
59,True,False,True,False,59,Asus,3,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.41,977,Low
60,True,False,True,False,60,Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.5280000000000005,1091,Low
61,True,False,True,False,61,Dell,3,1,2,7,15.598425196850393,0.9310344827586208,16,256,4.106221030042918,1142,Low
62,False,True,False,True,62,Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1075,Low
63,True,False,True,False,63,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.6448,1117,Low
64,True,False,True,False,64,Asus,1,3,1,7,17.299212598425196,1.0,16,256,7.938000000000001,3810,High
65,False,True,False,True,65,Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.615,892,Low
66,True,False,True,False,66,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,256,3.10905,1206,Low
67,True,False,True,False,67,Lenovo,3,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.52025,1118,Low
68,True,False,True,False,68,Dell,3,1,2,7,15.598425196850393,0.6206896551724138,8,256,4.106221030042918,934,Low
69,False,True,False,True,69,Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1053,Low
